Regular Season,Sun,17-Nov-13,Paul Brown Stadium,Cincinnati Bengals,Cleveland Browns,41,20,224,330,63856
Regular Season,Sun,17-Nov-13,Soldier Field,Chicago Bears,Baltimore Ravens,23,20,319,317,62367
Regular Season,Sun,17-Nov-13,Sun Life Stadium,Miami Dolphins,San Diego Chargers,20,16,343,435,60256
Regular Season,Sun,17-Nov-13,EverBank Field,Arizona Cardinals,Jacksonville Jaguars,27,14,416,274,59862
Regular Season,Sun,17-Nov-13,Heinz Field,Pittsburgh Steelers,Detroit Lions,37,27,398,451,57905
Regular Season,Sun,17-Nov-13,Raymond James Stadium,Tampa Bay Buccaneers,Atlanta Falcons,41,28,410,420,55360
Regular Season,Mon,18-Nov-13,Bank of America Stadium,Carolina Panthers,New England Patriots,24,20,300,390,74225
Regular Season,Thu,21-Nov-13,Georgia Dome,New Orleans Saints,Atlanta Falcons,17,13,374,355,70422
Regular Season,Sun,24-Nov-13,MetLife Stadium,Dallas Cowboys,New York Giants,24,21,311,356,80499
Regular Season,Sun,24-Nov-13,Lambeau Field,Minnesota Vikings,Green Bay Packers,26,26,447,494,77871
Regular Season,Sun,24-Nov-13,Arrowhead Stadium,San Diego Chargers,Kansas City Chiefs,41,38,491,395,75259
Regular Season,Sun,24-Nov-13,Reliant Stadium,Jacksonville Jaguars,Houston Texans,13,6,333,218,71659
Regular Season,Sun,24-Nov-13,FirstEnergy Stadium,Pittsburgh Steelers,Cleveland Browns,27,11,302,367,71513
Regular Season,Sun,24-Nov-13,M&T Bank Stadium,Baltimore Ravens,New York Jets,19,3,312,220,71148
Regular Season,Sun,24-Nov-13,Gillette Stadium,New England Patriots,Denver Broncos,34,31,440,412,68756
Regular Season,Sun,24-Nov-13,Edward Jones Dome,St. Louis Rams,Chicago Bears,42,21,406,424,66024
Regular Season,Sun,24-Nov-13,Ford Field,Tampa Bay Buccaneers,Detroit Lions,24,21,229,390,62098
Regular Season,Sun,24-Nov-13,University of Phoenix Stadium,Arizona Cardinals,Indianapolis Colts,40,11,410,239,60882
Regular Season,Sun,24-Nov-13,Sun Life Stadium,Carolina Panthers,Miami Dolphins,20,16,295,332,60156
Regular Season,Sun,24-Nov-13,O.co Coliseum,Tennessee Titans,Oakland Raiders,23,19,426,353,46001
Regular Season,Mon,25-Nov-13,FedExField,San Francisco 49ers,Washington Redskins,27,6,304,190,79773
